ch_name,Condition,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Chroma,Significant,group
S5_D3 hbr,Neutral,922416.7422689807,4.48021364348959e-07,2.0588677587047397,0.03950690843087393,4.431100384052354e-08,1.8005224806974378e-06,hbr,True,anon
S5_D6 hbr,Control,1211944.2150940166,4.4802136434895913e-07,2.705103621241701,0.006828308570471227,3.338384766655593e-07,2.0900499535224742e-06,hbr,True,anon
S6_D4 hbr,Control,1919630.174162209,4.480213643489591e-07,4.284684452384797,1.8299873114378935e-05,1.0415244357337517e-06,2.7977359125906667e-06,hbr,True,anon
S6_D4 hbr,Inflam,1416057.5346647338,4.480213643489589e-07,3.1606919833443077,0.0015739484265903493,5.379517962362766e-07,2.2941632730931906e-06,hbr,True,anon
S6_D4 hbr,Neutral,2304882.730979071,4.480213643489589e-07,5.1445821882365035,2.6811685382896347e-07,1.4267769925506138e-06,3.182988469407528e-06,hbr,True,anon
S6_D6 hbr,Neutral,1062608.4105674424,4.480213643489589e-07,2.37178066745002,0.01770259586718129,1.8450267213898534e-07,1.9407141489958994e-06,hbr,True,anon
S7_D7 hbr,Control,2676041.375953654,4.4802136434895913e-07,5.973021799624076,2.3289876444530297e-09,1.7979356375251962e-06,3.5541471143821114e-06,hbr,True,anon
S8_D6 hbr,Control,1718866.3554179373,4.4802136434895903e-07,3.836572298099451,0.00012476347843019174,8.4076061698948e-07,2.5969720938463945e-06,hbr,True,anon
S8_D7 hbr,Control,1620293.0074330478,4.4802136434895913e-07,3.616552995832177,0.000298552215716073,7.421872690045901e-07,2.498398745861505e-06,hbr,True,anon
S8_D7 hbr,Inflam,1812799.7181461325,4.480213643489589e-07,4.046234984307942,5.204798743940858e-05,9.346939797176754e-07,2.6909054565745897e-06,hbr,True,anon
S1_D2 hbo,Control,-1.7609589057434194,8.263499689160427e-07,-2.131008618604224,0.0330884321600814,-3.3805750834446565e-06,-1.4134272804218226e-07,hbo,True,direct
S1_D2 hbo,Neutral,-2.63031930674401,8.263499689160429e-07,-3.1830573070563646,0.0014572876839141723,-4.249935484445247e-06,-1.0107031290427726e-06,hbo,True,direct
S2_D1 hbo,Control,-2.1231773200362767,8.263499689160427e-07,-2.5693439824549595,0.010189126118098815,-3.742793497737514e-06,-5.035611423350397e-07,hbo,True,direct
S2_D3 hbo,Control,-4.4464506222185065,8.263499689160427e-07,-5.3808323222315835,7.414223100315768e-08,-6.0660667999197446e-06,-2.8268344445172697e-06,hbo,True,direct
S2_D3 hbo,Inflam,-2.8466881762256535,8.263499689160432e-07,-3.4448941529698005,0.0005712830520456341,-4.466304353926892e-06,-1.2270719985244154e-06,hbo,True,direct
S4_D2 hbo,Inflam,-6.370269988272545,8.26349968916043e-07,-7.708925065524827,1.2688188261583293e-14,-7.989886165973783e-06,-4.750653810571308e-06,hbo,True,direct
S4_D2 hbo,Neutral,-5.37505372398376,8.263499689160428e-07,-6.504573033426067,7.791435663117076e-11,-6.994669901684998e-06,-3.755437546282523e-06,hbo,True,direct
S4_D4 hbo,Control,-2.3624334755480856,8.263499689160427e-07,-2.8588776721889237,0.004251426947350244,-3.982049653249323e-06,-7.428172978468482e-07,hbo,True,direct
S6_D4 hbo,Control,-2.0416863450959557,8.263499689160429e-07,-2.4707284103539315,0.013483817925561825,-3.661302522797193e-06,-4.2207016739471803e-07,hbo,True,direct
S6_D4 hbo,Inflam,2.414001446460492,8.263499689160429e-07,2.921282189466331,0.003485939277231501,7.943852687592546e-07,4.033617624161729e-06,hbo,True,direct
S6_D4 hbo,Neutral,-2.0512279777714824,8.263499689160428e-07,-2.4822751315186258,0.013054643490138225,-3.6708441554727196e-06,-4.316118000702449e-07,hbo,True,direct
S6_D6 hbo,Control,-2.320734501648394,8.263499689160429e-07,-2.8084160330913988,0.004978586358103791,-3.940350679349631e-06,-7.011183239471563e-07,hbo,True,direct
S6_D6 hbo,Neutral,-3.646622676979628,8.263499689160429e-07,-4.412927711200925,1.0198205545549915e-05,-5.266238854680866e-06,-2.027006499278391e-06,hbo,True,direct
S7_D5 hbo,Control,-2.26896608450865,8.263499689160431e-07,-2.745768947610593,0.006036926334297595,-3.888582262209888e-06,-6.493499068074122e-07,hbo,True,direct
