,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,fdr_status
12120,Control,38.0,3.747858781879366e-12,2.216869857383973e-05,9.150308274908873e-07,4.835448053733684,4.424584033897133e-06,6,4,hbo,True,S6_D4 hbo,5,True
12804,Control,38.0,1.8400323084026453e-13,2.216869857383973e-05,2.0274812233081547e-07,-4.835448053733683,-9.803780135227004e-07,6,4,hbr,True,S6_D4 hbr,5,True
