,df,mse,p_value,se,t,theta,ID,ch_name,Chroma,Condition
0,22.384615384615383,9.957609720024317e-12,0.4708851592110531,9.641086907227048e-07,-0.20342364007773292,-1.9910746025806753e-07,7.0,S1_D1 hbo,hbo,Neutral
1,22.384615384615383,9.957609720024317e-12,0.3958934727397836,9.640225515075508e-07,-0.7181018771521125,-6.526306301863767e-07,7.0,S1_D1 hbo,hbo,Concern
2,22.384615384615383,9.297283532757595e-12,0.39841810804464634,6.91385750593566e-07,-0.5261449610712372,-3.5371144657561263e-07,7.0,S1_D2 hbo,hbo,Neutral
3,22.384615384615383,9.297283532757595e-12,0.3986199795078124,6.918345647710904e-07,-0.009243482428108378,-1.5357914972848826e-07,7.0,S1_D2 hbo,hbo,Concern
4,22.384615384615383,1.3288716464641348e-11,0.4713371900018092,1.1514263204316006e-06,-0.9371167202573525,-9.047089668383262e-07,7.0,S2_D1 hbo,hbo,Neutral
5,22.384615384615383,1.3288716464641348e-11,0.27664692157168463,1.1514357082837817e-06,-0.9388410567379457,-1.0601505614739924e-06,7.0,S2_D1 hbo,hbo,Concern
6,22.384615384615383,1.400623506188478e-11,0.3729544665521145,1.151199226417415e-06,-1.2190913136208603,-1.152084051593012e-06,7.0,S2_D3 hbo,hbo,Neutral
7,22.384615384615383,1.400623506188478e-11,0.33994964882288775,1.1510372231457844e-06,-0.4439258447350599,-3.1984517799599875e-07,7.0,S2_D3 hbo,hbo,Concern
8,22.384615384615383,1.6638092158991908e-11,0.2619787826343599,1.295505967625673e-06,0.1303703616380991,8.222131939802028e-08,7.0,S3_D3 hbo,hbo,Neutral
9,22.384615384615383,1.6638092158991908e-11,0.24405319496034772,1.2954539481493662e-06,0.0312628150452505,-3.0316912598113667e-07,7.0,S3_D3 hbo,hbo,Concern
10,22.384615384615383,6.882902392686093e-12,0.41881769789284434,7.679251486524201e-07,0.9060554718386177,8.481680183579141e-07,7.0,S3_D4 hbo,hbo,Neutral
11,22.384615384615383,6.882902392686093e-12,0.29922342137655694,7.679785805513927e-07,0.16754116308208636,3.943542116108426e-07,7.0,S3_D4 hbo,hbo,Concern
12,22.384615384615383,5.882660501783667e-11,0.4096545729439732,1.3251884074271077e-06,0.26787496439777575,4.154267500118451e-07,7.0,S4_D2 hbo,hbo,Neutral
13,22.384615384615383,5.882660501783667e-11,0.48269407169950146,1.3280977127383014e-06,0.09010056936036014,2.936395928888263e-07,7.0,S4_D2 hbo,hbo,Concern
14,22.384615384615383,4.5455417466835665e-11,0.28341956638683596,1.169744538878354e-06,0.6163681227271917,8.889491143697619e-07,7.0,S4_D4 hbo,hbo,Neutral
15,22.384615384615383,4.5455417466835665e-11,0.42952943337417776,1.170339881458079e-06,0.3642191397438093,2.501314228963975e-07,7.0,S4_D4 hbo,hbo,Concern
16,22.384615384615383,2.69047861471095e-11,0.40268784651471423,1.1978675351268784e-06,0.7763569920457181,7.473049254397585e-07,7.0,S4_D5 hbo,hbo,Neutral
17,22.384615384615383,2.69047861471095e-11,0.35697549921130767,1.1986272570464578e-06,0.22012384217615058,1.0180727480782147e-07,7.0,S4_D5 hbo,hbo,Concern
18,22.384615384615383,8.153702519813928e-12,0.3702740235676782,8.724556807331544e-07,0.25800689471128446,2.776419851594449e-07,7.0,S5_D3 hbo,hbo,Neutral
19,22.384615384615383,8.153702519813928e-12,0.38773124870888076,8.724394877309676e-07,0.6194292680726909,4.950818096320637e-07,7.0,S5_D3 hbo,hbo,Concern
20,22.384615384615383,7.92271604319621e-12,0.19730000167979816,8.430466580428716e-07,1.49957726248773,1.2142540242524042e-06,7.0,S5_D4 hbo,hbo,Neutral
21,22.384615384615383,7.92271604319621e-12,0.31843574738139924,8.429336886929147e-07,1.4376636465878172,1.200302499504882e-06,7.0,S5_D4 hbo,hbo,Concern
22,22.384615384615383,1.53121303693153e-11,0.3964082068428889,1.2027665867035664e-06,0.13366927072260085,-5.0851237723105035e-08,7.0,S5_D6 hbo,hbo,Neutral
23,22.384615384615383,1.53121303693153e-11,0.3283029970022729,1.2026340506614823e-06,1.0550477338117052,1.016629261986322e-06,7.0,S5_D6 hbo,hbo,Concern
24,22.384615384615383,8.662390601155937e-12,0.26512944545991207,8.772934262637517e-07,0.985116783216744,9.736731830084992e-07,7.0,S6_D4 hbo,hbo,Neutral
25,22.384615384615383,8.662390601155937e-12,0.30962859946088134,8.77273737871341e-07,0.8701793363826141,8.835907475726676e-07,7.0,S6_D4 hbo,hbo,Concern
26,22.384615384615383,1.9891934018287093e-11,0.4243486142733343,1.3423989280101296e-06,0.10620825759599593,-1.109830525235719e-07,7.0,S6_D6 hbo,hbo,Neutral
27,22.384615384615383,1.9891934018287093e-11,0.2363001350184263,1.3421383872768365e-06,0.3795762052302296,3.3281938164347787e-07,7.0,S6_D6 hbo,hbo,Concern
28,22.384615384615383,8.490702226494819e-12,0.5762971135199753,8.464835703638829e-07,0.3960668082067726,2.8137156358767976e-07,7.0,S7_D5 hbo,hbo,Neutral
29,22.384615384615383,8.490702226494819e-12,0.38466421495131803,8.46063576146004e-07,-0.05805333998386695,3.799001497905924e-08,7.0,S7_D5 hbo,hbo,Concern
30,22.384615384615383,1.9514968782401747e-11,0.48448287614710267,1.231035079341252e-06,-0.22135211314150396,-1.8451215495521915e-07,7.0,S7_D7 hbo,hbo,Neutral
31,22.384615384615383,1.9514968782401747e-11,0.2539010661795472,1.231969309987813e-06,-0.16043727240386993,-4.075758926758245e-07,7.0,S7_D7 hbo,hbo,Concern
