ch_name,Condition,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Chroma,Significant,group
S2_D1 hbo,Concern,-1.0028753488210302e-06,3.86534099562888e-07,-2.5945326685410977,0.009471961156789303,-1.7604682627609102e-06,-2.452824348811501e-07,hbo,True,all_groups
S2_D1 hbo,Neutral,-1.1018470953539465e-06,3.86534099562888e-07,-2.8505818674211927,0.00436393146024648,-1.8594400092938265e-06,-3.442541814140664e-07,hbo,True,all_groups
S2_D3 hbo,Neutral,-1.3249046553062948e-06,3.86534099562888e-07,-3.427652713705111,0.0006088237634353,-2.082497569246175e-06,-5.673117413664147e-07,hbo,True,all_groups
S4_D2 hbo,Neutral,8.459894712392567e-07,3.86534099562888e-07,2.188654176166976,0.02862198494506691,8.839655729937657e-08,1.6035823851791368e-06,hbo,True,all_groups
S4_D4 hbo,Neutral,9.597676477303806e-07,3.86534099562888e-07,2.4830089992467252,0.013027779633701412,2.0217473379050047e-07,1.7173605616702608e-06,hbo,True,all_groups
S4_D5 hbo,Neutral,1.1835815283634903e-06,3.86534099562888e-07,3.0620365181285254,0.002198366309430429,4.259886144236102e-07,1.9411744423033703e-06,hbo,True,all_groups
S5_D4 hbo,Concern,7.992295314830335e-07,3.86534099562888e-07,2.0676818226046345,0.038669952301649525,4.1636617543153423e-08,1.5568224454229137e-06,hbo,True,all_groups
S6_D6 hbo,Concern,-8.800876700465837e-07,3.865340995628879e-07,-2.276869417321346,0.022794024650013567,-1.6376805839864637e-06,-1.2249475610670384e-07,hbo,True,all_groups
S8_D7 hbo,Concern,-1.3519474771922668e-06,3.86534099562888e-07,-3.4976150324670354,0.0004694382159122514,-2.109540391132147e-06,-5.943545632523867e-07,hbo,True,all_groups
S2_D1 hbr,Concern,3.455661924982936e-07,1.3147021375346535e-07,2.628475170400984,0.008576861657733841,8.788930850171896e-08,6.032430764948682e-07,hbr,True,all_groups
S2_D1 hbr,Neutral,3.097058995902851e-07,1.3147021375346535e-07,2.3557115391251258,0.01848726755287875,5.202901559371048e-08,5.673827835868598e-07,hbr,True,all_groups
S2_D3 hbr,Neutral,4.123807346266814e-07,1.3147021375346535e-07,3.136685663263491,0.001708692125118631,1.5470385063010677e-07,6.700576186232561e-07,hbr,True,all_groups
S3_D3 hbr,Concern,2.724443475403281e-07,1.3147021375346538e-07,2.072289530548868,0.038238448197086355,1.476746354375341e-08,5.301212315369028e-07,hbr,True,all_groups
S4_D4 hbr,Concern,2.879109195001526e-07,1.3147021375346532e-07,2.1899326948691735,0.028529118400754633,3.023403550357803e-08,5.455878034967273e-07,hbr,True,all_groups
S4_D4 hbr,Neutral,-2.9376368281444893e-07,1.3147021375346535e-07,-2.234450484467291,0.02545344709923959,-5.514405668110236e-07,-3.6086798817874294e-08,hbr,True,all_groups
S4_D5 hbr,Neutral,-3.302915733040054e-07,1.3147021375346535e-07,-2.5122920536462536,0.01199497740960388,-5.8796845730058e-07,-7.261468930743074e-08,hbr,True,all_groups
S5_D4 hbr,Concern,-2.5869465865791225e-07,1.3147021375346535e-07,-1.9677054693393885,0.04910193616992928,-5.163715426544868e-07,-1.0177746613376135e-09,hbr,True,all_groups
S8_D7 hbr,Concern,4.010516626523034e-07,1.3147021375346535e-07,3.0505135057006956,0.0022845040555029973,1.4337477865572877e-07,6.58728546648878e-07,hbr,True,all_groups
