,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID,fdr_status
4768,Neutral,21.0,3.949961367063128e-12,6.90794301577368e-06,6.879841707249505e-07,5.931251152960505,4.08060690583094e-06,5,6,hbo,True,S5_D6 hbo,12,True
5146,Neutral,21.0,4.3949639056942954e-13,6.907943015773731e-06,2.2948784005264603e-07,-5.9312511529605025,-1.3611500159026722e-06,5,6,hbr,True,S5_D6 hbr,12,True
34662,Concern,21.0,2.8887324625088334e-12,1.0408316364997304e-05,6.028842030873865e-07,5.751643468620337,3.4675749890219435e-06,5,4,hbo,True,S5_D4 hbo,2,True
35040,Concern,21.0,3.8501562514945434e-13,1.0408316364997322e-05,2.200996850157039e-07,-5.751643468620336,-1.2659349157659665e-06,5,4,hbr,True,S5_D4 hbr,2,True
